generacion,mejor,peor,promedio,media
1,0.8,0.26,0.5426,0.56,
2,0.85,0.42,0.59,0.57,
3,

4,0.99,0.31,0.6824,0.72,
5,0.95,0.53,0.7202,0.72,
6,0.98,0.12,0.9062,0.98,
7,0.98,0.02,0.9144,0.96,
8,0.98,0.54,0.9592,0.98,
9,0.99,0.98,0.9712,0.99,
10,0.99,0.5,0.98,0.99,
11,1,1,0.9812,1,
12,0.97,0.96,0.959,0.97,
13,0.98,0.51,0.9696,0.98,
14,0.99,0.52,0.9702,0.98,
15,0.99,0.51,0.9422,0.96,
16,0.96,0.04,0.923199,0.96,
17,0.97,0.91,0.9658,0.97,
18,0.98,0.51,0.9704,0.98,
19,0.98,0.48,0.919,0.95,
20,0.98,0.89,0.8916,0.89,
21,0.98,0.84,0.878,0.91,
22,0.99,0.78,0.8442,0.83,
23,0.97,0.79,0.873801,0.87,
24,0.94,0.73,0.8308,0.94,
25,1,0.99,0.99,0.99,
26,1,0.96,0.9804,0.99,
27,1,0.99,0.9888,0.99,
28,1,0.96,0.972,0.97,
29,0.99,0.76,0.951201,0.99,
30,1,0.82,0.9716,0.98,
31,0.99,0.95,0.961,0.98,
32,1,0.99,0.9852,1,
33,0.99,0.62,0.9602,0.98,
34,0.98,0.63,0.9698,0.98,
35,0.96,0.51,0.9224,0.95,
36,0.89,0.89,0.8766,0.89,
37,0.98,0.88,0.8928,0.89,
38,0.99,0.72,0.7564,0.72,
39,0.94,0.67,0.702,0.67,
40,0.93,0.47,0.712,0.72,
41,0.92,0.49,0.7506,0.81,
42,0.95,0.24,0.7946,0.94,
43,0.99,0.04,0.8966,0.95,
44,0.98,0.87,0.8806,0.92,
45,0.97,0.41,0.9494,0.97,
46,0.98,0.08,0.9076,0.97,
47,0.98,0.51,0.9228,0.96,
48,1,0.42,0.9484,0.96,
49,0.98,0.5,0.9484,0.96,
50,1,0.99,0.9716,1,
51,0.95,0.01,0.8866,0.94,
52,0.98,0.03,0.929,0.98,
53,0.98,0.98,0.963,0.98,
54,0.98,0.03,0.9408,0.98,
55,0.98,0.51,0.923799,0.96,
56,0.99,0.96,0.932599,0.96,
57,0.98,0.94,0.9122,0.94,
58,0.94,0.61,0.8596,0.87,
59,0.92,0.31,0.735,0.68,
60,0.88,0.5,0.6786,0.77,
61,0.98,0.59,0.6518,0.59,
62,0.99,0.07,0.6982,0.67,
63,0.96,0.34,0.6584,0.58,
64,0.95,0.65,0.728,0.68,
65,0.92,0.44,0.7122,0.83,
66,0.96,0.39,0.861,0.87,
67,0.97,0.35,0.8202,0.76,
68,0.99,0.12,0.9138,0.99,
69,